participant_id,diff_video1_葛藤あり行動あり,diff_video2_葛藤あり行動なし,diff_video3_葛藤なし行動あり,diff_video4_葛藤なし行動なし,group
1,0.33333333333333304,1.0,0.5,0.0,その他群
2,-0.3333333333333339,0.33333333333333304,0.0,-0.16666666666666696,その他群
3,-0.6666666666666665,-0.49999999999999956,-0.33333333333333304,-0.16666666666666607,その他群
4,0.6666666666666665,0.3333333333333335,0.3333333333333335,0.3333333333333335,その他群
5,1.1666666666666665,0.6666666666666665,0.6666666666666665,1.6666666666666665,その他群
6,0.6666666666666661,-0.3333333333333339,-0.16666666666666696,0.5,その他群
7,-0.16666666666666607,-0.33333333333333304,-0.49999999999999956,-0.33333333333333304,その他群
8,-1.8333333333333335,-2.166666666666667,-2.0,-1.3333333333333335,その他群
9,0.5,0.5,0.33333333333333304,0.5,その他群
10,0.0,0.0,0.5,0.0,その他群
11,-0.833333333333333,-0.16666666666666607,-0.5,-0.6666666666666661,その他群
14,-0.16666666666666696,0.33333333333333304,0.16666666666666607,-0.666666666666667,その他群
15,-0.16666666666666652,-0.16666666666666652,0.0,0.0,その他群
16,0.16666666666666607,0.16666666666666607,0.0,0.5,その他群
17,0.33333333333333304,0.16666666666666696,0.33333333333333304,0.33333333333333304,その他群
18,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,その他群
19,0.16666666666666652,-1.0000000000000002,0.833333333333333,-1.1666666666666667,その他群
20,-0.6666666666666665,0.666666666666667,0.666666666666667,-1.0,その他群
22,0.0,0.33333333333333304,0.666666666666667,0.5,その他群
23,0.16666666666666696,0.16666666666666696,0.3333333333333339,0.3333333333333339,その他群
24,-1.1666666666666665,0.16666666666666652,0.0,0.0,その他群
25,0.33333333333333304,-2.5,0.6666666666666661,-2.333333333333334,その他群
28,0.666666666666667,0.8333333333333339,1.333333333333334,1.333333333333334,その他群
29,0.666666666666667,0.5,0.5,1.0,その他群
30,0.8333333333333333,0.33333333333333326,0.33333333333333326,0.6666666666666667,その他群
32,0.16666666666666652,0.0,0.16666666666666652,0.0,その他群
33,-0.16666666666666696,0.16666666666666696,-0.16666666666666696,0.33333333333333304,その他群
34,-0.16666666666666696,1.333333333333333,1.333333333333333,1.166666666666666,その他群
35,0.0,-0.3333333333333339,-0.16666666666666696,-0.16666666666666696,その他群
36,-0.16666666666666652,-0.5,-0.16666666666666652,0.0,その他群
37,0.3333333333333335,0.5,0.5,0.0,その他群
41,0.0,0.49999999999999956,0.6666666666666665,0.3333333333333335,その他群
42,0.33333333333333304,0.16666666666666652,0.5,0.833333333333333,その他群
43,0.0,0.16666666666666652,0.0,-0.3333333333333335,その他群
44,-0.3333333333333335,0.0,-0.3333333333333335,-1.3333333333333335,その他群
45,-1.5,0.16666666666666652,1.0,0.666666666666667,その他群
46,-0.5,-0.8333333333333335,-0.666666666666667,-0.16666666666666696,その他群
47,-0.16666666666666696,0.6666666666666661,-0.16666666666666696,0.5,その他群
48,0.0,0.0,0.16666666666666696,-0.8333333333333335,その他群
51,1.0,0.6666666666666665,-0.16666666666666674,4.166666666666667,その他群
52,0.33333333333333304,0.5,0.6666666666666661,0.5,その他群
53,0.0,0.0,0.0,0.0,その他群
55,0.5,0.3333333333333339,0.16666666666666696,0.5,その他群
56,0.3333333333333335,-0.5,-0.5,-0.5,その他群
57,1.1666666666666665,0.3333333333333335,1.3333333333333335,0.5,その他群
58,-0.16666666666666674,-0.5,-0.5,-0.16666666666666674,その他群
59,1.0,0.8333333333333335,1.0,1.0,その他群
60,-0.5,-0.5,-0.33333333333333304,-0.5,その他群
61,-0.666666666666667,-0.8333333333333335,-0.5,-0.666666666666667,その他群
62,-1.4999999999999996,0.3333333333333339,0.666666666666667,0.666666666666667,その他群
63,0.3333333333333339,-0.33333333333333304,0.0,0.0,その他群
64,-0.16666666666666607,0.16666666666666696,0.0,0.16666666666666696,その他群
65,0.5,0.0,-0.16666666666666652,0.0,その他群
