Source,SS,ddof1,ddof2,MS,F,p,p_GG_corr,ng2,eps
Conflict,186.96374045801522,1,130,186.96374045801522,79.55773391729527,3.722202630492979e-15,3.722202630492979e-15,0.17021006746273737,1.0
Presentation,37.404580152671784,1,130,37.404580152671784,46.44793178643615,3.1726880190309093e-10,3.1726880190309093e-10,0.039420121961030424,1.0
Conflict * Presentation,3.130248091603036,1,130,3.130248091603036,4.923500532508998,0.028228426065867184,0.028228426065867184,0.003422547708833555,1.0
