section,timing,video_no,scale,n_items,n_valid,cronbach_alpha,pooled_videos
事後全条件プール,事後,all,CZO尺度,10,284,0.873,4
事後全条件プール,事後,all,主観の勇気評定,3,284,0.940,4
事後全条件プール,事後,all,勇気尺度,6,284,0.937,4
事後全条件プール,事後,all,葛藤尺度,4,284,0.898,4
