section,timing,video_no,scale,n_items,n_valid,cronbach_alpha,pooled_videos
事後全条件プール,事後,all,CZO尺度,10,220,0.795,4
事後全条件プール,事後,all,主観の勇気評定,3,220,0.933,4
事後全条件プール,事後,all,勇気尺度,6,220,0.958,4
事後全条件プール,事後,all,葛藤尺度,4,220,0.891,4
