comparison_type,level,t_value,p_value,cohens_d,significance
行動の単純主効果,葛藤なし,7.264926875919855,3.5309393926014334e-11,0.64721112642043,***
行動の単純主効果,葛藤あり,5.838742081211422,4.2599754146831784e-08,0.5201564866102995,***
葛藤の単純主効果,行動あり,-2.75747391408621,0.006698636574073253,-0.24565530093993143,**
葛藤の単純主効果,行動なし,2.174324107686053,0.031564298259726654,0.19370418711343285,*
