participant_id,video_no,conflict,action,score,score_type,target_kind,scale,item_no,item_text
110,2,葛藤あり,行動なし,4.333333333333333,post,scale,勇気尺度,,
111,2,葛藤あり,行動なし,4.833333333333333,post,scale,勇気尺度,,
112,2,葛藤あり,行動なし,5.0,post,scale,勇気尺度,,
113,2,葛藤あり,行動なし,5.166666666666667,post,scale,勇気尺度,,
117,2,葛藤あり,行動なし,4.0,post,scale,勇気尺度,,
121,2,葛藤あり,行動なし,6.666666666666667,post,scale,勇気尺度,,
123,2,葛藤あり,行動なし,4.166666666666667,post,scale,勇気尺度,,
2,2,葛藤あり,行動なし,0.33333333333333304,diff,scale,勇気尺度,,
4,2,葛藤あり,行動なし,0.3333333333333335,diff,scale,勇気尺度,,
5,2,葛藤あり,行動なし,0.6666666666666665,diff,scale,勇気尺度,,
6,2,葛藤あり,行動なし,-0.3333333333333339,diff,scale,勇気尺度,,
8,2,葛藤あり,行動なし,-2.166666666666667,diff,scale,勇気尺度,,
9,2,葛藤あり,行動なし,0.5,diff,scale,勇気尺度,,
11,2,葛藤あり,行動なし,-0.16666666666666607,diff,scale,勇気尺度,,
14,2,葛藤あり,行動なし,0.33333333333333304,diff,scale,勇気尺度,,
16,2,葛藤あり,行動なし,0.16666666666666607,diff,scale,勇気尺度,,
17,2,葛藤あり,行動なし,0.16666666666666696,diff,scale,勇気尺度,,
20,2,葛藤あり,行動なし,0.666666666666667,diff,scale,勇気尺度,,
22,2,葛藤あり,行動なし,0.33333333333333304,diff,scale,勇気尺度,,
23,2,葛藤あり,行動なし,0.16666666666666696,diff,scale,勇気尺度,,
24,2,葛藤あり,行動なし,0.16666666666666652,diff,scale,勇気尺度,,
25,2,葛藤あり,行動なし,-2.5,diff,scale,勇気尺度,,
28,2,葛藤あり,行動なし,0.8333333333333339,diff,scale,勇気尺度,,
29,2,葛藤あり,行動なし,0.5,diff,scale,勇気尺度,,
30,2,葛藤あり,行動なし,0.33333333333333326,diff,scale,勇気尺度,,
33,2,葛藤あり,行動なし,0.16666666666666696,diff,scale,勇気尺度,,
34,2,葛藤あり,行動なし,1.333333333333333,diff,scale,勇気尺度,,
35,2,葛藤あり,行動なし,-0.3333333333333339,diff,scale,勇気尺度,,
37,2,葛藤あり,行動なし,0.5,diff,scale,勇気尺度,,
38,2,葛藤あり,行動なし,-0.666666666666667,diff,scale,勇気尺度,,
42,2,葛藤あり,行動なし,0.16666666666666652,diff,scale,勇気尺度,,
45,2,葛藤あり,行動なし,0.16666666666666652,diff,scale,勇気尺度,,
47,2,葛藤あり,行動なし,0.6666666666666661,diff,scale,勇気尺度,,
49,2,葛藤あり,行動なし,0.5000000000000004,diff,scale,勇気尺度,,
52,2,葛藤あり,行動なし,0.5,diff,scale,勇気尺度,,
55,2,葛藤あり,行動なし,0.3333333333333339,diff,scale,勇気尺度,,
60,2,葛藤あり,行動なし,-0.5,diff,scale,勇気尺度,,
61,2,葛藤あり,行動なし,-0.8333333333333335,diff,scale,勇気尺度,,
63,2,葛藤あり,行動なし,-0.33333333333333304,diff,scale,勇気尺度,,
64,2,葛藤あり,行動なし,0.16666666666666696,diff,scale,勇気尺度,,
65,2,葛藤あり,行動なし,0.0,diff,scale,勇気尺度,,
66,2,葛藤あり,行動なし,-1.8333333333333335,diff,scale,勇気尺度,,
68,2,葛藤あり,行動なし,-0.16666666666666696,diff,scale,勇気尺度,,
69,2,葛藤あり,行動なし,1.0,diff,scale,勇気尺度,,
70,2,葛藤あり,行動なし,0.16666666666666696,diff,scale,勇気尺度,,
71,2,葛藤あり,行動なし,0.0,diff,scale,勇気尺度,,
74,2,葛藤あり,行動なし,0.16666666666666696,diff,scale,勇気尺度,,
75,2,葛藤あり,行動なし,2.333333333333334,diff,scale,勇気尺度,,
78,2,葛藤あり,行動なし,-0.16666666666666696,diff,scale,勇気尺度,,
79,2,葛藤あり,行動なし,-1.0,diff,scale,勇気尺度,,
80,2,葛藤あり,行動なし,-0.3333333333333335,diff,scale,勇気尺度,,
81,2,葛藤あり,行動なし,0.0,diff,scale,勇気尺度,,
82,2,葛藤あり,行動なし,1.5,diff,scale,勇気尺度,,
86,2,葛藤あり,行動なし,0.0,diff,scale,勇気尺度,,
89,2,葛藤あり,行動なし,0.0,diff,scale,勇気尺度,,
90,2,葛藤あり,行動なし,-0.33333333333333304,diff,scale,勇気尺度,,
91,2,葛藤あり,行動なし,-1.333333333333333,diff,scale,勇気尺度,,
92,2,葛藤あり,行動なし,0.0,diff,scale,勇気尺度,,
93,2,葛藤あり,行動なし,1.333333333333333,diff,scale,勇気尺度,,
97,2,葛藤あり,行動なし,0.666666666666667,diff,scale,勇気尺度,,
98,2,葛藤あり,行動なし,-0.8333333333333335,diff,scale,勇気尺度,,
102,2,葛藤あり,行動なし,0.0,diff,scale,勇気尺度,,
106,2,葛藤あり,行動なし,-0.8333333333333335,diff,scale,勇気尺度,,
110,2,葛藤あり,行動なし,0.16666666666666607,diff,scale,勇気尺度,,
111,2,葛藤あり,行動なし,0.9999999999999996,diff,scale,勇気尺度,,
112,2,葛藤あり,行動なし,1.3333333333333335,diff,scale,勇気尺度,,
113,2,葛藤あり,行動なし,0.0,diff,scale,勇気尺度,,
117,2,葛藤あり,行動なし,0.3333333333333335,diff,scale,勇気尺度,,
121,2,葛藤あり,行動なし,-0.16666666666666607,diff,scale,勇気尺度,,
123,2,葛藤あり,行動なし,0.8333333333333335,diff,scale,勇気尺度,,
2,3,葛藤なし,行動あり,4.666666666666667,post,scale,勇気尺度,,
4,3,葛藤なし,行動あり,4.0,post,scale,勇気尺度,,
5,3,葛藤なし,行動あり,3.0,post,scale,勇気尺度,,
6,3,葛藤なし,行動あり,4.5,post,scale,勇気尺度,,
8,3,葛藤なし,行動あり,1.3333333333333333,post,scale,勇気尺度,,
9,3,葛藤なし,行動あり,4.333333333333333,post,scale,勇気尺度,,
11,3,葛藤なし,行動あり,5.833333333333333,post,scale,勇気尺度,,
14,3,葛藤なし,行動あり,5.333333333333333,post,scale,勇気尺度,,
16,3,葛藤なし,行動あり,5.666666666666667,post,scale,勇気尺度,,
17,3,葛藤なし,行動あり,4.833333333333333,post,scale,勇気尺度,,
20,3,葛藤なし,行動あり,5.166666666666667,post,scale,勇気尺度,,
22,3,葛藤なし,行動あり,5.166666666666667,post,scale,勇気尺度,,
23,3,葛藤なし,行動あり,6.166666666666667,post,scale,勇気尺度,,
24,3,葛藤なし,行動あり,3.5,post,scale,勇気尺度,,
25,3,葛藤なし,行動あり,4.833333333333333,post,scale,勇気尺度,,
28,3,葛藤なし,行動あり,6.666666666666667,post,scale,勇気尺度,,
29,3,葛藤なし,行動あり,6.5,post,scale,勇気尺度,,
30,3,葛藤なし,行動あり,2.1666666666666665,post,scale,勇気尺度,,
33,3,葛藤なし,行動あり,5.333333333333333,post,scale,勇気尺度,,
34,3,葛藤なし,行動あり,6.5,post,scale,勇気尺度,,
35,3,葛藤なし,行動あり,5.0,post,scale,勇気尺度,,
37,3,葛藤なし,行動あり,4.0,post,scale,勇気尺度,,
38,3,葛藤なし,行動あり,3.0,post,scale,勇気尺度,,
42,3,葛藤なし,行動あり,3.3333333333333335,post,scale,勇気尺度,,
45,3,葛藤なし,行動あり,4.5,post,scale,勇気尺度,,
47,3,葛藤なし,行動あり,5.0,post,scale,勇気尺度,,
49,3,葛藤なし,行動あり,3.0,post,scale,勇気尺度,,
52,3,葛藤なし,行動あり,4.833333333333333,post,scale,勇気尺度,,
55,3,葛藤なし,行動あり,5.5,post,scale,勇気尺度,,
60,3,葛藤なし,行動あり,5.0,post,scale,勇気尺度,,
61,3,葛藤なし,行動あり,4.166666666666667,post,scale,勇気尺度,,
63,3,葛藤なし,行動あり,4.333333333333333,post,scale,勇気尺度,,
64,3,葛藤なし,行動あり,5.833333333333333,post,scale,勇気尺度,,
65,3,葛藤なし,行動あり,2.3333333333333335,post,scale,勇気尺度,,
66,3,葛藤なし,行動あり,3.3333333333333335,post,scale,勇気尺度,,
68,3,葛藤なし,行動あり,4.333333333333333,post,scale,勇気尺度,,
69,3,葛藤なし,行動あり,6.0,post,scale,勇気尺度,,
70,3,葛藤なし,行動あり,2.5,post,scale,勇気尺度,,
71,3,葛藤なし,行動あり,5.333333333333333,post,scale,勇気尺度,,
74,3,葛藤なし,行動あり,6.0,post,scale,勇気尺度,,
75,3,葛藤なし,行動あり,2.3333333333333335,post,scale,勇気尺度,,
78,3,葛藤なし,行動あり,3.8333333333333335,post,scale,勇気尺度,,
79,3,葛藤なし,行動あり,5.833333333333333,post,scale,勇気尺度,,
80,3,葛藤なし,行動あり,3.6666666666666665,post,scale,勇気尺度,,
81,3,葛藤なし,行動あり,4.666666666666667,post,scale,勇気尺度,,
82,3,葛藤なし,行動あり,5.0,post,scale,勇気尺度,,
86,3,葛藤なし,行動あり,4.0,post,scale,勇気尺度,,
89,3,葛藤なし,行動あり,7.0,post,scale,勇気尺度,,
90,3,葛藤なし,行動あり,5.666666666666667,post,scale,勇気尺度,,
91,3,葛藤なし,行動あり,5.333333333333333,post,scale,勇気尺度,,
92,3,葛藤なし,行動あり,5.0,post,scale,勇気尺度,,
93,3,葛藤なし,行動あり,4.5,post,scale,勇気尺度,,
97,3,葛藤なし,行動あり,4.5,post,scale,勇気尺度,,
98,3,葛藤なし,行動あり,4.833333333333333,post,scale,勇気尺度,,
102,3,葛藤なし,行動あり,4.5,post,scale,勇気尺度,,
106,3,葛藤なし,行動あり,4.333333333333333,post,scale,勇気尺度,,
110,3,葛藤なし,行動あり,4.5,post,scale,勇気尺度,,
111,3,葛藤なし,行動あり,4.5,post,scale,勇気尺度,,
112,3,葛藤なし,行動あり,5.0,post,scale,勇気尺度,,
113,3,葛藤なし,行動あり,5.5,post,scale,勇気尺度,,
117,3,葛藤なし,行動あり,5.0,post,scale,勇気尺度,,
121,3,葛藤なし,行動あり,6.833333333333333,post,scale,勇気尺度,,
123,3,葛藤なし,行動あり,4.0,post,scale,勇気尺度,,
2,3,葛藤なし,行動あり,0.0,diff,scale,勇気尺度,,
4,3,葛藤なし,行動あり,0.3333333333333335,diff,scale,勇気尺度,,
5,3,葛藤なし,行動あり,0.6666666666666665,diff,scale,勇気尺度,,
6,3,葛藤なし,行動あり,-0.16666666666666696,diff,scale,勇気尺度,,
8,3,葛藤なし,行動あり,-2.0,diff,scale,勇気尺度,,
9,3,葛藤なし,行動あり,0.33333333333333304,diff,scale,勇気尺度,,
11,3,葛藤なし,行動あり,-0.5,diff,scale,勇気尺度,,
14,3,葛藤なし,行動あり,0.16666666666666607,diff,scale,勇気尺度,,
16,3,葛藤なし,行動あり,0.0,diff,scale,勇気尺度,,
17,3,葛藤なし,行動あり,0.33333333333333304,diff,scale,勇気尺度,,
20,3,葛藤なし,行動あり,0.666666666666667,diff,scale,勇気尺度,,
22,3,葛藤なし,行動あり,0.666666666666667,diff,scale,勇気尺度,,
23,3,葛藤なし,行動あり,0.3333333333333339,diff,scale,勇気尺度,,
24,3,葛藤なし,行動あり,0.0,diff,scale,勇気尺度,,
25,3,葛藤なし,行動あり,0.6666666666666661,diff,scale,勇気尺度,,
28,3,葛藤なし,行動あり,1.333333333333334,diff,scale,勇気尺度,,
29,3,葛藤なし,行動あり,0.5,diff,scale,勇気尺度,,
30,3,葛藤なし,行動あり,0.33333333333333326,diff,scale,勇気尺度,,
33,3,葛藤なし,行動あり,-0.16666666666666696,diff,scale,勇気尺度,,
34,3,葛藤なし,行動あり,1.333333333333333,diff,scale,勇気尺度,,
35,3,葛藤なし,行動あり,-0.16666666666666696,diff,scale,勇気尺度,,
37,3,葛藤なし,行動あり,0.5,diff,scale,勇気尺度,,
38,3,葛藤なし,行動あり,-0.8333333333333335,diff,scale,勇気尺度,,
42,3,葛藤なし,行動あり,0.5,diff,scale,勇気尺度,,
45,3,葛藤なし,行動あり,1.0,diff,scale,勇気尺度,,
47,3,葛藤なし,行動あり,-0.16666666666666696,diff,scale,勇気尺度,,
49,3,葛藤なし,行動あり,-0.6666666666666665,diff,scale,勇気尺度,,
52,3,葛藤なし,行動あり,0.6666666666666661,diff,scale,勇気尺度,,
55,3,葛藤なし,行動あり,0.16666666666666696,diff,scale,勇気尺度,,
60,3,葛藤なし,行動あり,-0.33333333333333304,diff,scale,勇気尺度,,
61,3,葛藤なし,行動あり,-0.5,diff,scale,勇気尺度,,
63,3,葛藤なし,行動あり,0.0,diff,scale,勇気尺度,,
64,3,葛藤なし,行動あり,0.0,diff,scale,勇気尺度,,
65,3,葛藤なし,行動あり,-0.16666666666666652,diff,scale,勇気尺度,,
66,3,葛藤なし,行動あり,-1.1666666666666665,diff,scale,勇気尺度,,
68,3,葛藤なし,行動あり,0.16666666666666607,diff,scale,勇気尺度,,
69,3,葛藤なし,行動あり,1.166666666666667,diff,scale,勇気尺度,,
70,3,葛藤なし,行動あり,-0.16666666666666652,diff,scale,勇気尺度,,
71,3,葛藤なし,行動あり,0.6666666666666661,diff,scale,勇気尺度,,
74,3,葛藤なし,行動あり,1.166666666666667,diff,scale,勇気尺度,,
75,3,葛藤なし,行動あり,0.5000000000000002,diff,scale,勇気尺度,,
78,3,葛藤なし,行動あり,-0.3333333333333335,diff,scale,勇気尺度,,
79,3,葛藤なし,行動あり,1.333333333333333,diff,scale,勇気尺度,,
80,3,葛藤なし,行動あり,-0.5000000000000004,diff,scale,勇気尺度,,
81,3,葛藤なし,行動あり,0.3333333333333339,diff,scale,勇気尺度,,
82,3,葛藤なし,行動あり,1.5,diff,scale,勇気尺度,,
86,3,葛藤なし,行動あり,0.0,diff,scale,勇気尺度,,
89,3,葛藤なし,行動あり,0.0,diff,scale,勇気尺度,,
90,3,葛藤なし,行動あり,-0.16666666666666607,diff,scale,勇気尺度,,
91,3,葛藤なし,行動あり,0.5,diff,scale,勇気尺度,,
92,3,葛藤なし,行動あり,0.0,diff,scale,勇気尺度,,
93,3,葛藤なし,行動あり,0.5,diff,scale,勇気尺度,,
97,3,葛藤なし,行動あり,1.0,diff,scale,勇気尺度,,
98,3,葛藤なし,行動あり,1.4999999999999996,diff,scale,勇気尺度,,
102,3,葛藤なし,行動あり,-0.16666666666666696,diff,scale,勇気尺度,,
