participant_id,video_no,conflict,action,score,score_type,target_kind,scale,item_no,item_text
107,2,葛藤あり,行動なし,2.0,post,scale,勇気尺度,,
108,2,葛藤あり,行動なし,3.8333333333333335,post,scale,勇気尺度,,
109,2,葛藤あり,行動なし,3.5,post,scale,勇気尺度,,
114,2,葛藤あり,行動なし,3.0,post,scale,勇気尺度,,
116,2,葛藤あり,行動なし,2.3333333333333335,post,scale,勇気尺度,,
118,2,葛藤あり,行動なし,4.0,post,scale,勇気尺度,,
122,2,葛藤あり,行動なし,3.1666666666666665,post,scale,勇気尺度,,
1,2,葛藤あり,行動なし,1.0,diff,scale,勇気尺度,,
3,2,葛藤あり,行動なし,-0.49999999999999956,diff,scale,勇気尺度,,
7,2,葛藤あり,行動なし,-0.33333333333333304,diff,scale,勇気尺度,,
13,2,葛藤あり,行動なし,-0.16666666666666652,diff,scale,勇気尺度,,
19,2,葛藤あり,行動なし,-1.0000000000000002,diff,scale,勇気尺度,,
27,2,葛藤あり,行動なし,0.16666666666666674,diff,scale,勇気尺度,,
36,2,葛藤あり,行動なし,-0.5,diff,scale,勇気尺度,,
39,2,葛藤あり,行動なし,0.33333333333333326,diff,scale,勇気尺度,,
43,2,葛藤あり,行動なし,0.16666666666666652,diff,scale,勇気尺度,,
44,2,葛藤あり,行動なし,0.0,diff,scale,勇気尺度,,
54,2,葛藤あり,行動なし,0.6666666666666665,diff,scale,勇気尺度,,
56,2,葛藤あり,行動なし,-0.5,diff,scale,勇気尺度,,
57,2,葛藤あり,行動なし,0.3333333333333335,diff,scale,勇気尺度,,
58,2,葛藤あり,行動なし,-0.5,diff,scale,勇気尺度,,
83,2,葛藤あり,行動なし,-0.16666666666666674,diff,scale,勇気尺度,,
84,2,葛藤あり,行動なし,0.5000000000000002,diff,scale,勇気尺度,,
85,2,葛藤あり,行動なし,-1.0,diff,scale,勇気尺度,,
88,2,葛藤あり,行動なし,0.0,diff,scale,勇気尺度,,
94,2,葛藤あり,行動なし,-0.3333333333333335,diff,scale,勇気尺度,,
95,2,葛藤あり,行動なし,-1.1666666666666665,diff,scale,勇気尺度,,
99,2,葛藤あり,行動なし,-0.6666666666666665,diff,scale,勇気尺度,,
101,2,葛藤あり,行動なし,2.1666666666666665,diff,scale,勇気尺度,,
103,2,葛藤あり,行動なし,0.0,diff,scale,勇気尺度,,
107,2,葛藤あり,行動なし,-0.6666666666666665,diff,scale,勇気尺度,,
108,2,葛藤あり,行動なし,1.3333333333333335,diff,scale,勇気尺度,,
109,2,葛藤あり,行動なし,0.3333333333333335,diff,scale,勇気尺度,,
114,2,葛藤あり,行動なし,-0.3333333333333335,diff,scale,勇気尺度,,
116,2,葛藤あり,行動なし,-0.16666666666666652,diff,scale,勇気尺度,,
118,2,葛藤あり,行動なし,1.6666666666666665,diff,scale,勇気尺度,,
122,2,葛藤あり,行動なし,0.0,diff,scale,勇気尺度,,
1,3,葛藤なし,行動あり,3.3333333333333335,post,scale,勇気尺度,,
3,3,葛藤なし,行動あり,4.0,post,scale,勇気尺度,,
7,3,葛藤なし,行動あり,3.8333333333333335,post,scale,勇気尺度,,
13,3,葛藤なし,行動あり,3.0,post,scale,勇気尺度,,
19,3,葛藤なし,行動あり,3.6666666666666665,post,scale,勇気尺度,,
27,3,葛藤なし,行動あり,1.3333333333333333,post,scale,勇気尺度,,
36,3,葛藤なし,行動あり,2.5,post,scale,勇気尺度,,
39,3,葛藤なし,行動あり,1.5,post,scale,勇気尺度,,
43,3,葛藤なし,行動あり,3.5,post,scale,勇気尺度,,
44,3,葛藤なし,行動あり,2.0,post,scale,勇気尺度,,
54,3,葛藤なし,行動あり,3.0,post,scale,勇気尺度,,
56,3,葛藤なし,行動あり,2.0,post,scale,勇気尺度,,
57,3,葛藤なし,行動あり,3.8333333333333335,post,scale,勇気尺度,,
58,3,葛藤なし,行動あり,1.5,post,scale,勇気尺度,,
83,3,葛藤なし,行動あり,2.3333333333333335,post,scale,勇気尺度,,
84,3,葛藤なし,行動あり,2.0,post,scale,勇気尺度,,
85,3,葛藤なし,行動あり,1.0,post,scale,勇気尺度,,
88,3,葛藤なし,行動あり,3.8333333333333335,post,scale,勇気尺度,,
94,3,葛藤なし,行動あり,2.0,post,scale,勇気尺度,,
95,3,葛藤なし,行動あり,1.6666666666666667,post,scale,勇気尺度,,
99,3,葛藤なし,行動あり,3.1666666666666665,post,scale,勇気尺度,,
101,3,葛藤なし,行動あり,3.8333333333333335,post,scale,勇気尺度,,
103,3,葛藤なし,行動あり,3.8333333333333335,post,scale,勇気尺度,,
107,3,葛藤なし,行動あり,2.0,post,scale,勇気尺度,,
