participant_id,diff_video1_葛藤あり行動あり,diff_video2_葛藤あり行動なし,diff_video3_葛藤なし行動あり,diff_video4_葛藤なし行動なし,group
12,0.666666666666667,0.16666666666666696,0.5,0.0,葛藤あり高群
13,0.16666666666666696,-0.16666666666666652,-0.16666666666666652,-0.5,葛藤あり高群
21,0.3333333333333335,0.5,-0.3333333333333335,0.16666666666666652,葛藤あり高群
26,0.16666666666666696,0.5000000000000004,-0.833333333333333,0.0,葛藤あり高群
27,0.5,0.16666666666666674,0.0,0.0,葛藤あり高群
31,-0.16666666666666652,-0.16666666666666652,-1.0,-0.8333333333333335,葛藤あり高群
38,-0.5,-0.666666666666667,-0.8333333333333335,-0.8333333333333335,葛藤あり高群
39,0.16666666666666674,0.33333333333333326,0.0,0.16666666666666674,葛藤あり高群
40,0.6666666666666665,0.6666666666666665,0.33333333333333304,0.16666666666666652,葛藤あり高群
49,0.5000000000000004,0.5000000000000004,-0.6666666666666665,-0.5,葛藤あり高群
50,-0.6666666666666665,-0.6666666666666665,-1.0,-1.3333333333333335,葛藤あり高群
54,0.6666666666666665,0.6666666666666665,-0.3333333333333335,-0.3333333333333335,葛藤あり高群
70,0.0,0.16666666666666696,-0.16666666666666652,-0.6666666666666665,葛藤あり高群
73,-0.5,-0.5,-1.8333333333333335,-1.3333333333333335,葛藤あり高群
75,1.5000000000000002,2.333333333333334,0.5000000000000002,0.8333333333333333,葛藤あり高群
78,0.16666666666666607,-0.16666666666666696,-0.3333333333333335,-0.666666666666667,葛藤あり高群
80,-0.3333333333333335,-0.3333333333333335,-0.5000000000000004,-0.666666666666667,葛藤あり高群
84,0.33333333333333326,0.5000000000000002,0.16666666666666674,-0.16666666666666652,葛藤あり高群
85,-1.3333333333333333,-1.0,-1.5,-1.5,葛藤あり高群
93,1.0,1.333333333333333,0.5,1.166666666666667,葛藤あり高群
99,0.0,-0.6666666666666665,-0.3333333333333335,-0.8333333333333335,葛藤あり高群
119,-0.3333333333333335,-0.3333333333333335,-0.8333333333333333,-0.5,葛藤あり高群
