participant_id,diff_video1_葛藤あり行動あり,diff_video2_葛藤あり行動なし,diff_video3_葛藤なし行動あり,diff_video4_葛藤なし行動なし,group
16,-0.09999999999999964,0.0,-0.19999999999999973,-0.09999999999999964,葛藤あり高群
17,-0.10000000000000009,-0.20000000000000018,-0.30000000000000027,-0.5,葛藤あり高群
22,-0.10000000000000009,0.09999999999999964,-0.20000000000000018,-0.20000000000000018,葛藤あり高群
24,-0.10000000000000009,0.0,-0.30000000000000027,-0.30000000000000027,葛藤あり高群
30,-0.2999999999999998,-0.2999999999999998,-0.3999999999999999,-0.6000000000000001,葛藤あり高群
32,0.0,0.0,-0.09999999999999964,-0.19999999999999973,葛藤あり高群
33,-0.19999999999999973,-0.19999999999999973,-0.3999999999999999,-0.5,葛藤あり高群
37,-0.19999999999999973,-0.19999999999999973,-0.3999999999999999,-0.2999999999999998,葛藤あり高群
41,0.6000000000000001,0.7000000000000002,0.5,0.3999999999999999,葛藤あり高群
42,0.5,0.3999999999999999,0.3999999999999999,0.30000000000000027,葛藤あり高群
43,0.20000000000000018,-0.09999999999999964,-0.2999999999999998,-0.19999999999999973,葛藤あり高群
51,0.0,0.0,-0.10000000000000009,-0.10000000000000009,葛藤あり高群
56,0.20000000000000018,0.40000000000000036,0.10000000000000009,0.10000000000000009,葛藤あり高群
70,-0.10000000000000009,-0.30000000000000027,-0.40000000000000036,-0.40000000000000036,葛藤あり高群
80,-0.19999999999999973,-0.3999999999999999,-0.3999999999999999,-0.5,葛藤あり高群
89,-0.8999999999999999,-1.0,-1.0,-1.4,葛藤あり高群
97,0.10000000000000009,-0.19999999999999973,-0.2999999999999998,-0.2999999999999998,葛藤あり高群
100,0.20000000000000018,0.20000000000000018,0.10000000000000009,0.0,葛藤あり高群
101,0.5,0.7999999999999998,0.2999999999999998,0.10000000000000009,葛藤あり高群
116,-0.19999999999999996,-0.30000000000000004,-0.3999999999999999,-0.5,葛藤あり高群
119,-0.3999999999999999,-0.30000000000000027,-0.5,-0.6000000000000001,葛藤あり高群
