participant_id,diff_video1_葛藤あり行動あり,diff_video2_葛藤あり行動なし,diff_video3_葛藤なし行動あり,diff_video4_葛藤なし行動なし,group
1,-0.2999999999999998,0.20000000000000018,-0.10000000000000009,-0.20000000000000018,その他群
2,0.0,-0.5,-0.20000000000000018,-0.20000000000000018,その他群
3,0.6000000000000001,0.5,0.5,0.5,その他群
4,0.0,-0.40000000000000036,-0.20000000000000018,-0.20000000000000018,その他群
5,0.6000000000000001,0.6999999999999997,0.6000000000000001,-0.10000000000000009,その他群
6,0.09999999999999964,0.0,0.09999999999999964,0.0,その他群
7,0.2999999999999998,0.2999999999999998,0.2999999999999998,0.10000000000000009,その他群
8,0.0,-0.20000000000000018,0.19999999999999973,-0.10000000000000009,その他群
9,0.40000000000000036,0.10000000000000009,-0.09999999999999964,0.40000000000000036,その他群
10,0.10000000000000009,-0.2999999999999998,-0.10000000000000009,0.0,その他群
11,-0.10000000000000053,0.0,0.2999999999999998,0.1999999999999993,その他群
12,0.10000000000000009,0.19999999999999973,0.19999999999999973,0.3999999999999999,その他群
13,0.3999999999999999,0.20000000000000018,0.6000000000000001,0.5,その他群
14,0.0,0.5,0.3999999999999999,0.2999999999999998,その他群
15,-0.10000000000000009,0.0,0.0,0.20000000000000018,その他群
18,0.7999999999999998,0.19999999999999973,0.3999999999999999,0.3999999999999999,その他群
19,0.19999999999999973,0.09999999999999964,0.5999999999999996,0.0,その他群
20,-1.0,-0.6000000000000001,-0.40000000000000036,-0.6000000000000001,その他群
21,0.10000000000000009,0.0,0.10000000000000009,-0.20000000000000018,その他群
23,0.0,-0.10000000000000009,-0.20000000000000018,0.0,その他群
25,0.6000000000000001,-0.19999999999999973,0.6000000000000001,-0.8999999999999999,その他群
26,0.2999999999999998,0.09999999999999964,0.2999999999999998,-0.10000000000000009,その他群
27,0.3999999999999999,0.2999999999999998,0.3999999999999999,0.3999999999999999,その他群
28,0.2999999999999998,0.09999999999999964,0.0,0.09999999999999964,その他群
29,0.09999999999999964,0.09999999999999964,0.09999999999999964,0.09999999999999964,その他群
31,0.0,0.10000000000000009,-0.10000000000000009,0.10000000000000009,その他群
34,0.40000000000000036,0.7999999999999998,0.6000000000000001,0.20000000000000018,その他群
35,0.0,0.10000000000000009,0.0,0.0,その他群
36,0.20000000000000018,0.20000000000000018,0.20000000000000018,0.2999999999999998,その他群
38,0.5,0.10000000000000009,0.6999999999999997,0.5,その他群
39,0.6000000000000001,-0.3999999999999999,0.6000000000000001,0.2999999999999998,その他群
40,0.3999999999999999,0.3999999999999999,0.3999999999999999,0.3999999999999999,その他群
44,-0.10000000000000009,-0.10000000000000009,0.0,0.20000000000000018,その他群
45,0.0,-0.5,-0.3999999999999999,-0.3999999999999999,その他群
46,-0.10000000000000009,0.20000000000000018,-0.2999999999999998,0.2999999999999998,その他群
47,0.6000000000000001,0.7999999999999998,0.6000000000000001,0.6000000000000001,その他群
48,0.2999999999999998,0.3999999999999999,0.6000000000000001,0.5,その他群
49,-0.40000000000000036,0.09999999999999964,-0.30000000000000027,-0.30000000000000027,その他群
50,0.10000000000000009,0.20000000000000018,0.20000000000000018,0.10000000000000009,その他群
52,0.20000000000000018,0.0,-0.19999999999999973,0.20000000000000018,その他群
53,0.0,0.0,0.0,0.0,その他群
54,0.5000000000000002,0.5000000000000002,0.5000000000000002,0.7,その他群
55,-0.10000000000000009,-0.7000000000000002,0.10000000000000009,-0.10000000000000009,その他群
57,0.0,-0.09999999999999964,0.5,-0.09999999999999964,その他群
58,0.09999999999999987,0.09999999999999987,0.5999999999999999,0.30000000000000004,その他群
59,0.6000000000000001,0.10000000000000009,0.10000000000000009,0.2999999999999998,その他群
60,0.10000000000000009,0.10000000000000009,0.10000000000000009,0.10000000000000009,その他群
61,0.0,-0.30000000000000027,-0.30000000000000027,-0.20000000000000018,その他群
62,0.0,0.2999999999999998,0.2999999999999998,0.3999999999999999,その他群
63,0.09999999999999964,0.09999999999999964,0.0,0.09999999999999964,その他群
64,-0.10000000000000009,0.0,-0.10000000000000009,-0.30000000000000027,その他群
65,-0.10000000000000009,0.0,-0.10000000000000009,0.0,その他群
66,-0.40000000000000036,-0.7000000000000002,-0.40000000000000036,0.09999999999999964,その他群
67,-0.10000000000000009,-0.10000000000000009,-0.20000000000000018,0.0,その他群
68,-0.19999999999999973,-0.10000000000000009,-0.19999999999999973,0.0,その他群
69,1.0,1.1000000000000005,1.1000000000000005,1.1000000000000005,その他群
71,0.2999999999999998,0.7000000000000002,0.6000000000000005,0.5,その他群
72,-0.8,-0.8,-0.6000000000000001,-0.9000000000000001,その他群
73,-0.19999999999999973,-0.2999999999999998,0.0,-0.10000000000000009,その他群
74,0.5,0.6000000000000001,1.0000000000000004,0.8000000000000003,その他群
