comparison_type,level,group1,group2,t_value,p_value,cohens_d,significance
成功の単純主効果,葛藤あり,成功あり,成功なし,3.412500738508723,0.0012268160892784199,0.4601415057116586,**
成功の単純主効果,葛藤なし,成功あり,成功なし,5.249999999999998,2.62795630067604e-06,0.7079098555864041,***
葛藤の単純主効果,成功あり,葛藤あり,葛藤なし,-3.2795503953318828,0.001823520710368823,-0.4422144850948054,**
葛藤の単純主効果,成功なし,葛藤あり,葛藤なし,1.2758913276551924,0.20745489086940844,0.1720411515246348,ns
