participant_id,video_no,conflict,action,score,score_type,target,pre_courage,group
56,1,葛藤あり,行動あり,2.8333333333333335,post,勇気尺度（post）,2.5,事前勇気<4
57,1,葛藤あり,行動あり,3.6666666666666665,post,勇気尺度（post）,2.5,事前勇気<4
58,1,葛藤あり,行動あり,1.8333333333333333,post,勇気尺度（post）,2.0,事前勇気<4
59,1,葛藤あり,行動あり,3.0,post,勇気尺度（post）,2.0,事前勇気<4
60,1,葛藤あり,行動あり,4.833333333333333,post,勇気尺度（post）,5.333333333333333,事前勇気>=4
61,1,葛藤あり,行動あり,4.0,post,勇気尺度（post）,4.666666666666667,事前勇気>=4
62,1,葛藤あり,行動あり,2.8333333333333335,post,勇気尺度（post）,4.333333333333333,事前勇気>=4
63,1,葛藤あり,行動あり,4.666666666666667,post,勇気尺度（post）,4.333333333333333,事前勇気>=4
64,1,葛藤あり,行動あり,5.666666666666667,post,勇気尺度（post）,5.833333333333333,事前勇気>=4
65,1,葛藤あり,行動あり,3.0,post,勇気尺度（post）,2.5,事前勇気<4
66,1,葛藤あり,行動あり,3.3333333333333335,post,勇気尺度（post）,4.5,事前勇気>=4
67,1,葛藤あり,行動あり,3.3333333333333335,post,勇気尺度（post）,3.8333333333333335,事前勇気<4
68,1,葛藤あり,行動あり,4.0,post,勇気尺度（post）,4.166666666666667,事前勇気>=4
69,1,葛藤あり,行動あり,5.833333333333333,post,勇気尺度（post）,4.833333333333333,事前勇気>=4
70,1,葛藤あり,行動あり,2.6666666666666665,post,勇気尺度（post）,2.6666666666666665,事前勇気<4
71,1,葛藤あり,行動あり,3.8333333333333335,post,勇気尺度（post）,4.666666666666667,事前勇気>=4
72,1,葛藤あり,行動あり,1.3333333333333333,post,勇気尺度（post）,1.8333333333333333,事前勇気<4
73,1,葛藤あり,行動あり,4.0,post,勇気尺度（post）,4.5,事前勇気>=4
74,1,葛藤あり,行動あり,5.333333333333333,post,勇気尺度（post）,4.833333333333333,事前勇気>=4
75,1,葛藤あり,行動あり,3.3333333333333335,post,勇気尺度（post）,1.8333333333333333,事前勇気<4
76,1,葛藤あり,行動あり,4.333333333333333,post,勇気尺度（post）,4.833333333333333,事前勇気>=4
77,1,葛藤あり,行動あり,1.5,post,勇気尺度（post）,2.0,事前勇気<4
78,1,葛藤あり,行動あり,4.333333333333333,post,勇気尺度（post）,4.166666666666667,事前勇気>=4
79,1,葛藤あり,行動あり,5.333333333333333,post,勇気尺度（post）,4.5,事前勇気>=4
80,1,葛藤あり,行動あり,3.8333333333333335,post,勇気尺度（post）,4.166666666666667,事前勇気>=4
81,1,葛藤あり,行動あり,4.5,post,勇気尺度（post）,4.333333333333333,事前勇気>=4
82,1,葛藤あり,行動あり,5.0,post,勇気尺度（post）,3.5,事前勇気<4
83,1,葛藤あり,行動あり,1.8333333333333333,post,勇気尺度（post）,2.0,事前勇気<4
84,1,葛藤あり,行動あり,2.1666666666666665,post,勇気尺度（post）,1.8333333333333333,事前勇気<4
85,1,葛藤あり,行動あり,1.1666666666666667,post,勇気尺度（post）,2.5,事前勇気<4
86,1,葛藤あり,行動あり,4.0,post,勇気尺度（post）,4.0,事前勇気>=4
87,1,葛藤あり,行動あり,5.0,post,勇気尺度（post）,3.0,事前勇気<4
88,1,葛藤あり,行動あり,4.0,post,勇気尺度（post）,3.6666666666666665,事前勇気<4
89,1,葛藤あり,行動あり,7.0,post,勇気尺度（post）,7.0,事前勇気>=4
90,1,葛藤あり,行動あり,5.666666666666667,post,勇気尺度（post）,5.833333333333333,事前勇気>=4
91,1,葛藤あり,行動あり,4.5,post,勇気尺度（post）,4.833333333333333,事前勇気>=4
92,1,葛藤あり,行動あり,5.0,post,勇気尺度（post）,5.0,事前勇気>=4
93,1,葛藤あり,行動あり,5.0,post,勇気尺度（post）,4.0,事前勇気>=4
94,1,葛藤あり,行動あり,2.0,post,勇気尺度（post）,2.3333333333333335,事前勇気<4
95,1,葛藤あり,行動あり,2.5,post,勇気尺度（post）,3.5,事前勇気<4
96,1,葛藤あり,行動あり,4.833333333333333,post,勇気尺度（post）,4.5,事前勇気>=4
97,1,葛藤あり,行動あり,4.5,post,勇気尺度（post）,3.5,事前勇気<4
98,1,葛藤あり,行動あり,4.666666666666667,post,勇気尺度（post）,3.3333333333333335,事前勇気<4
99,1,葛藤あり,行動あり,3.5,post,勇気尺度（post）,3.5,事前勇気<4
100,1,葛藤あり,行動あり,2.0,post,勇気尺度（post）,2.3333333333333335,事前勇気<4
101,1,葛藤あり,行動あり,2.3333333333333335,post,勇気尺度（post）,1.5,事前勇気<4
102,1,葛藤あり,行動あり,4.333333333333333,post,勇気尺度（post）,4.666666666666667,事前勇気>=4
103,1,葛藤あり,行動あり,3.8333333333333335,post,勇気尺度（post）,3.6666666666666665,事前勇気<4
104,1,葛藤あり,行動あり,4.0,post,勇気尺度（post）,4.0,事前勇気>=4
105,1,葛藤あり,行動あり,4.0,post,勇気尺度（post）,4.333333333333333,事前勇気>=4
106,1,葛藤あり,行動あり,4.5,post,勇気尺度（post）,4.666666666666667,事前勇気>=4
107,1,葛藤あり,行動あり,2.3333333333333335,post,勇気尺度（post）,2.6666666666666665,事前勇気<4
108,1,葛藤あり,行動あり,3.8333333333333335,post,勇気尺度（post）,2.5,事前勇気<4
109,1,葛藤あり,行動あり,3.0,post,勇気尺度（post）,3.1666666666666665,事前勇気<4
110,1,葛藤あり,行動あり,4.333333333333333,post,勇気尺度（post）,4.166666666666667,事前勇気>=4
111,1,葛藤あり,行動あり,4.0,post,勇気尺度（post）,3.8333333333333335,事前勇気<4
112,1,葛藤あり,行動あり,5.833333333333333,post,勇気尺度（post）,3.6666666666666665,事前勇気<4
113,1,葛藤あり,行動あり,5.166666666666667,post,勇気尺度（post）,5.166666666666667,事前勇気>=4
114,1,葛藤あり,行動あり,3.0,post,勇気尺度（post）,3.3333333333333335,事前勇気<4
115,1,葛藤あり,行動あり,4.0,post,勇気尺度（post）,3.6666666666666665,事前勇気<4
116,1,葛藤あり,行動あり,2.5,post,勇気尺度（post）,2.5,事前勇気<4
117,1,葛藤あり,行動あり,4.833333333333333,post,勇気尺度（post）,3.6666666666666665,事前勇気<4
118,1,葛藤あり,行動あり,3.0,post,勇気尺度（post）,2.3333333333333335,事前勇気<4
119,1,葛藤あり,行動あり,2.1666666666666665,post,勇気尺度（post）,2.5,事前勇気<4
120,1,葛藤あり,行動あり,4.166666666666667,post,勇気尺度（post）,4.5,事前勇気>=4
121,1,葛藤あり,行動あり,6.833333333333333,post,勇気尺度（post）,6.833333333333333,事前勇気>=4
122,1,葛藤あり,行動あり,3.3333333333333335,post,勇気尺度（post）,3.1666666666666665,事前勇気<4
123,1,葛藤あり,行動あり,4.0,post,勇気尺度（post）,3.3333333333333335,事前勇気<4
124,1,葛藤あり,行動あり,3.6666666666666665,post,勇気尺度（post）,3.1666666666666665,事前勇気<4
125,1,葛藤あり,行動あり,4.666666666666667,post,勇気尺度（post）,4.333333333333333,事前勇気>=4
126,1,葛藤あり,行動あり,3.8333333333333335,post,勇気尺度（post）,3.6666666666666665,事前勇気<4
1,1,葛藤あり,行動あり,0.33333333333333304,diff,勇気尺度（diff）,2.8333333333333335,事前勇気<4
2,1,葛藤あり,行動あり,-0.3333333333333339,diff,勇気尺度（diff）,4.666666666666667,事前勇気>=4
3,1,葛藤あり,行動あり,-0.6666666666666665,diff,勇気尺度（diff）,4.333333333333333,事前勇気>=4
4,1,葛藤あり,行動あり,0.6666666666666665,diff,勇気尺度（diff）,3.6666666666666665,事前勇気<4
5,1,葛藤あり,行動あり,1.1666666666666665,diff,勇気尺度（diff）,2.3333333333333335,事前勇気<4
6,1,葛藤あり,行動あり,0.6666666666666661,diff,勇気尺度（diff）,4.666666666666667,事前勇気>=4
7,1,葛藤あり,行動あり,-0.16666666666666607,diff,勇気尺度（diff）,4.333333333333333,事前勇気>=4
8,1,葛藤あり,行動あり,-1.8333333333333335,diff,勇気尺度（diff）,3.3333333333333335,事前勇気<4
9,1,葛藤あり,行動あり,0.5,diff,勇気尺度（diff）,4.0,事前勇気>=4
10,1,葛藤あり,行動あり,0.0,diff,勇気尺度（diff）,2.0,事前勇気<4
11,1,葛藤あり,行動あり,-0.833333333333333,diff,勇気尺度（diff）,6.333333333333333,事前勇気>=4
12,1,葛藤あり,行動あり,0.666666666666667,diff,勇気尺度（diff）,4.0,事前勇気>=4
13,1,葛藤あり,行動あり,0.16666666666666696,diff,勇気尺度（diff）,3.1666666666666665,事前勇気<4
14,1,葛藤あり,行動あり,-0.16666666666666696,diff,勇気尺度（diff）,5.166666666666667,事前勇気>=4
15,1,葛藤あり,行動あり,-0.16666666666666652,diff,勇気尺度（diff）,2.1666666666666665,事前勇気<4
16,1,葛藤あり,行動あり,0.16666666666666607,diff,勇気尺度（diff）,5.666666666666667,事前勇気>=4
17,1,葛藤あり,行動あり,0.33333333333333304,diff,勇気尺度（diff）,4.5,事前勇気>=4
18,1,葛藤あり,行動あり,0.833333333333333,diff,勇気尺度（diff）,2.8333333333333335,事前勇気<4
19,1,葛藤あり,行動あり,0.16666666666666652,diff,勇気尺度（diff）,2.8333333333333335,事前勇気<4
20,1,葛藤あり,行動あり,-0.6666666666666665,diff,勇気尺度（diff）,4.5,事前勇気>=4
21,1,葛藤あり,行動あり,0.3333333333333335,diff,勇気尺度（diff）,3.5,事前勇気<4
22,1,葛藤あり,行動あり,0.0,diff,勇気尺度（diff）,4.5,事前勇気>=4
23,1,葛藤あり,行動あり,0.16666666666666696,diff,勇気尺度（diff）,5.833333333333333,事前勇気>=4
24,1,葛藤あり,行動あり,-1.1666666666666665,diff,勇気尺度（diff）,3.5,事前勇気<4
25,1,葛藤あり,行動あり,0.33333333333333304,diff,勇気尺度（diff）,4.166666666666667,事前勇気>=4
26,1,葛藤あり,行動あり,0.16666666666666696,diff,勇気尺度（diff）,3.6666666666666665,事前勇気<4
27,1,葛藤あり,行動あり,0.5,diff,勇気尺度（diff）,1.3333333333333333,事前勇気<4
28,1,葛藤あり,行動あり,0.666666666666667,diff,勇気尺度（diff）,5.333333333333333,事前勇気>=4
29,1,葛藤あり,行動あり,0.666666666666667,diff,勇気尺度（diff）,6.0,事前勇気>=4
30,1,葛藤あり,行動あり,0.8333333333333333,diff,勇気尺度（diff）,1.8333333333333333,事前勇気<4
31,1,葛藤あり,行動あり,-0.16666666666666652,diff,勇気尺度（diff）,3.5,事前勇気<4
32,1,葛藤あり,行動あり,0.16666666666666652,diff,勇気尺度（diff）,3.5,事前勇気<4
33,1,葛藤あり,行動あり,-0.16666666666666696,diff,勇気尺度（diff）,5.5,事前勇気>=4
34,1,葛藤あり,行動あり,-0.16666666666666696,diff,勇気尺度（diff）,5.166666666666667,事前勇気>=4
35,1,葛藤あり,行動あり,0.0,diff,勇気尺度（diff）,5.166666666666667,事前勇気>=4
36,1,葛藤あり,行動あり,-0.16666666666666652,diff,勇気尺度（diff）,2.6666666666666665,事前勇気<4
37,1,葛藤あり,行動あり,0.3333333333333335,diff,勇気尺度（diff）,3.5,事前勇気<4
38,1,葛藤あり,行動あり,-0.5,diff,勇気尺度（diff）,3.8333333333333335,事前勇気<4
39,1,葛藤あり,行動あり,0.16666666666666674,diff,勇気尺度（diff）,1.5,事前勇気<4
40,1,葛藤あり,行動あり,0.6666666666666665,diff,勇気尺度（diff）,2.3333333333333335,事前勇気<4
41,1,葛藤あり,行動あり,0.0,diff,勇気尺度（diff）,3.8333333333333335,事前勇気<4
42,1,葛藤あり,行動あり,0.33333333333333304,diff,勇気尺度（diff）,2.8333333333333335,事前勇気<4
43,1,葛藤あり,行動あり,0.0,diff,勇気尺度（diff）,3.5,事前勇気<4
44,1,葛藤あり,行動あり,-0.3333333333333335,diff,勇気尺度（diff）,2.3333333333333335,事前勇気<4
45,1,葛藤あり,行動あり,-1.5,diff,勇気尺度（diff）,3.5,事前勇気<4
46,1,葛藤あり,行動あり,-0.5,diff,勇気尺度（diff）,3.3333333333333335,事前勇気<4
47,1,葛藤あり,行動あり,-0.16666666666666696,diff,勇気尺度（diff）,5.166666666666667,事前勇気>=4
48,1,葛藤あり,行動あり,0.0,diff,勇気尺度（diff）,4.5,事前勇気>=4
49,1,葛藤あり,行動あり,0.5000000000000004,diff,勇気尺度（diff）,3.6666666666666665,事前勇気<4
50,1,葛藤あり,行動あり,-0.6666666666666665,diff,勇気尺度（diff）,4.5,事前勇気>=4
51,1,葛藤あり,行動あり,1.0,diff,勇気尺度（diff）,2.0,事前勇気<4
52,1,葛藤あり,行動あり,0.33333333333333304,diff,勇気尺度（diff）,4.166666666666667,事前勇気>=4
53,1,葛藤あり,行動あり,0.0,diff,勇気尺度（diff）,4.0,事前勇気>=4
54,1,葛藤あり,行動あり,0.6666666666666665,diff,勇気尺度（diff）,3.3333333333333335,事前勇気<4
55,1,葛藤あり,行動あり,0.5,diff,勇気尺度（diff）,5.333333333333333,事前勇気>=4
56,1,葛藤あり,行動あり,0.3333333333333335,diff,勇気尺度（diff）,2.5,事前勇気<4
57,1,葛藤あり,行動あり,1.1666666666666665,diff,勇気尺度（diff）,2.5,事前勇気<4
58,1,葛藤あり,行動あり,-0.16666666666666674,diff,勇気尺度（diff）,2.0,事前勇気<4
59,1,葛藤あり,行動あり,1.0,diff,勇気尺度（diff）,2.0,事前勇気<4
60,1,葛藤あり,行動あり,-0.5,diff,勇気尺度（diff）,5.333333333333333,事前勇気>=4
61,1,葛藤あり,行動あり,-0.666666666666667,diff,勇気尺度（diff）,4.666666666666667,事前勇気>=4
62,1,葛藤あり,行動あり,-1.4999999999999996,diff,勇気尺度（diff）,4.333333333333333,事前勇気>=4
63,1,葛藤あり,行動あり,0.3333333333333339,diff,勇気尺度（diff）,4.333333333333333,事前勇気>=4
64,1,葛藤あり,行動あり,-0.16666666666666607,diff,勇気尺度（diff）,5.833333333333333,事前勇気>=4
65,1,葛藤あり,行動あり,0.5,diff,勇気尺度（diff）,2.5,事前勇気<4
66,1,葛藤あり,行動あり,-1.1666666666666665,diff,勇気尺度（diff）,4.5,事前勇気>=4
67,1,葛藤あり,行動あり,-0.5,diff,勇気尺度（diff）,3.8333333333333335,事前勇気<4
68,1,葛藤あり,行動あり,-0.16666666666666696,diff,勇気尺度（diff）,4.166666666666667,事前勇気>=4
69,1,葛藤あり,行動あり,1.0,diff,勇気尺度（diff）,4.833333333333333,事前勇気>=4
70,1,葛藤あり,行動あり,0.0,diff,勇気尺度（diff）,2.6666666666666665,事前勇気<4
71,1,葛藤あり,行動あり,-0.8333333333333335,diff,勇気尺度（diff）,4.666666666666667,事前勇気>=4
72,1,葛藤あり,行動あり,-0.5,diff,勇気尺度（diff）,1.8333333333333333,事前勇気<4
73,1,葛藤あり,行動あり,-0.5,diff,勇気尺度（diff）,4.5,事前勇気>=4
74,1,葛藤あり,行動あり,0.5,diff,勇気尺度（diff）,4.833333333333333,事前勇気>=4
75,1,葛藤あり,行動あり,1.5000000000000002,diff,勇気尺度（diff）,1.8333333333333333,事前勇気<4
76,1,葛藤あり,行動あり,-0.5,diff,勇気尺度（diff）,4.833333333333333,事前勇気>=4
77,1,葛藤あり,行動あり,-0.5,diff,勇気尺度（diff）,2.0,事前勇気<4
78,1,葛藤あり,行動あり,0.16666666666666607,diff,勇気尺度（diff）,4.166666666666667,事前勇気>=4
79,1,葛藤あり,行動あり,0.833333333333333,diff,勇気尺度（diff）,4.5,事前勇気>=4
80,1,葛藤あり,行動あり,-0.3333333333333335,diff,勇気尺度（diff）,4.166666666666667,事前勇気>=4
81,1,葛藤あり,行動あり,0.16666666666666696,diff,勇気尺度（diff）,4.333333333333333,事前勇気>=4
82,1,葛藤あり,行動あり,1.5,diff,勇気尺度（diff）,3.5,事前勇気<4
