target,effect,F_value,num_df,den_df,p_value,sum_sq,partial_eta_sq,n_participants
主観勇気評定（項目1+3平均）,group,14.252968026181593,1.0,124.0,0.00024659927183651734,16.476994115724068,0.10309339632753811,126
主観勇気評定（項目1+3平均）,conflict,0.004179699699952748,1.0,124.0,0.9485563079937644,0.002615233736515196,3.370611950399331e-05,126
主観勇気評定（項目1+3平均）,action,83.82721191366647,1.0,124.0,1.3840377211298018e-15,168.77978006610712,0.403350509982731,126
主観勇気評定（項目1+3平均）,group:conflict,0.46081189191979,1.0,124.0,0.4985098008024629,0.28832951945080004,0.0037024657393361156,126
主観勇気評定（項目1+3平均）,group:action,3.863953798185175,1.0,124.0,0.05156884746242014,7.779780066107279,0.03021925791755094,126
主観勇気評定（項目1+3平均）,conflict:action,11.874953728936186,1.0,124.0,0.0007771858146284283,6.311253677672433,0.08739619336044914,126
主観勇気評定（項目1+3平均）,group:conflict:action,5.45378325927551,1.0,124.0,0.02113224654605462,2.8985552649740245,0.04212919176222484,126
勇気尺度（diff）,group,1.773968970306618,1.0,124.0,0.18533460624578582,0.6470263067087991,0.014104420690782412,126
勇気尺度（diff）,conflict,0.06736768455445022,1.0,124.0,0.7956391385212711,0.013901500934300313,0.0005429927773250971,126
勇気尺度（diff）,action,2.4866064192059865,1.0,124.0,0.11736688788604918,0.9126202180168606,0.01965904920371407,126
勇気尺度（diff）,group:conflict,7.512755876941007,1.0,124.0,0.007032083016972398,1.5502771623099596,0.05712568204388353,126
勇気尺度（diff）,group:action,0.00879715928907468,1.0,124.0,0.9254248383556669,0.003228683625327406,7.093980016413468e-05,126
勇気尺度（diff）,conflict:action,2.6130213194057674,1.0,124.0,0.10853099471629557,0.6294364130939256,0.020637856139724502,126
勇気尺度（diff）,group:conflict:action,0.045873305751885356,1.0,124.0,0.8307580697570945,0.01105016970768307,0.0003698092046868459,126
勇気尺度（post）,group,124.88425403484578,1.0,124.0,1.7419844959282534e-20,97.22565585158527,0.5017764362761213,126
勇気尺度（post）,conflict,0.06736768455445004,1.0,124.0,0.7956391385212711,0.013901500934300275,0.0005429927773250956,126
勇気尺度（post）,action,2.4866064192059834,1.0,124.0,0.11736688788604918,0.9126202180168593,0.019659049203714044,126
勇気尺度（post）,group:conflict,7.5127558769410046,1.0,124.0,0.007032083016972398,1.5502771623099592,0.05712568204388351,126
勇気尺度（post）,group:action,0.008797159289074822,1.0,124.0,0.9254248383556669,0.003228683625327458,7.093980016413582e-05,126
勇気尺度（post）,conflict:action,2.6130213194057674,1.0,124.0,0.10853099471629557,0.6294364130939256,0.020637856139724502,126
勇気尺度（post）,group:conflict:action,0.045873305751885356,1.0,124.0,0.8307580697570945,0.01105016970768307,0.0003698092046868459,126
葛藤尺度（post）,group,1.2256634288461246,1.0,124.0,0.27039507963881304,1.05428206215267,0.009787637735635181,126
葛藤尺度（post）,conflict,52.938772436605944,1.0,124.0,3.4336949242893914e-11,113.31552641794686,0.299192606050056,126
葛藤尺度（post）,action,6.845497492296656,1.0,124.0,0.009990847090697186,5.526318343412869,0.052317409643382454,126
葛藤尺度（post）,group:conflict,0.8055385649303092,1.0,124.0,0.37118188147858155,1.7242565766771996,0.006454349495965889,126
葛藤尺度（post）,group:action,0.4307570584200062,1.0,124.0,0.5128337947144059,0.3477469148414507,0.0034618214065656344,126
葛藤尺度（post）,conflict:action,1.8171612156833281,1.0,124.0,0.18010898989780605,0.9534391345210836,0.014442872483573533,126
葛藤尺度（post）,group:conflict:action,0.6675697467694502,1.0,124.0,0.4154672196676602,0.35026453134648156,0.005354798750993934,126
