n,mean_a,mean_b,mean_diff_a_minus_b,stat_label,stat_value,p_value,cohens_d,significance,test_used,normality_p,normality_ok_05,target,effect_tested,group,conflict,level_a,level_b,action
69,3.630434782608696,2.6449275362318843,0.9855072463768116,W,197.5,6.918374952386531e-06,0.5768327072892391,***,wilcoxon,0.0006486812619777709,False,主観勇気評定（項目1+3平均）,行動の単純主効果,事前勇気<4,葛藤なし,行動あり,行動なし,
69,3.601449275362319,2.760869565217391,0.8405797101449275,W,110.0,1.384472360276581e-06,0.6662338197551714,***,wilcoxon,0.0010742285589036061,False,主観勇気評定（項目1+3平均）,行動の単純主効果,事前勇気<4,葛藤あり,行動あり,行動なし,
57,4.807017543859649,3.017543859649123,1.7894736842105263,W,22.5,2.1627711252201672e-08,1.0066186757089548,***,wilcoxon,0.0016071624301275283,False,主観勇気評定（項目1+3平均）,行動の単純主効果,事前勇気>=4,葛藤なし,行動あり,行動なし,
57,4.37719298245614,3.3421052631578947,1.0350877192982457,W,151.5,3.2499944216590266e-05,0.6379380331986743,***,wilcoxon,0.002827876953261272,False,主観勇気評定（項目1+3平均）,行動の単純主効果,事前勇気>=4,葛藤あり,行動あり,行動なし,
69,3.601449275362319,3.630434782608696,-0.028985507246376812,W,476.5,0.8265273214606595,-0.03210079613351516,ns,wilcoxon,0.005431164928728459,False,主観勇気評定（項目1+3平均）,葛藤の単純主効果,事前勇気<4,,葛藤あり,葛藤なし,行動あり
69,2.760869565217391,2.6449275362318843,0.11594202898550725,W,303.5,0.14106449597877294,0.11462429062313709,ns,wilcoxon,1.5546337871243608e-08,False,主観勇気評定（項目1+3平均）,葛藤の単純主効果,事前勇気<4,,葛藤あり,葛藤なし,行動なし
57,4.37719298245614,4.807017543859649,-0.4298245614035088,W,232.0,0.005413310412843004,-0.377190201768498,**,wilcoxon,0.004950891787380357,False,主観勇気評定（項目1+3平均）,葛藤の単純主効果,事前勇気>=4,,葛藤あり,葛藤なし,行動あり
57,3.3421052631578947,3.017543859649123,0.32456140350877194,W,255.5,0.09207716389312758,0.2570972582574094,†,wilcoxon,0.00039627567348393585,False,主観勇気評定（項目1+3平均）,葛藤の単純主効果,事前勇気>=4,,葛藤あり,葛藤なし,行動なし
