n,mean_a,mean_b,mean_diff_a_minus_b,stat_label,stat_value,p_value,cohens_d,significance,test_used,normality_p,normality_ok_05,target,effect_tested,group,action,level_a,level_b
69,3.1038647342995174,2.981884057971015,0.12198067632850237,t,1.9804481442696908,0.05170071014055402,0.23841793934003525,†,paired_t,0.15240338943271758,True,勇気尺度（post）,葛藤の単純主効果,事前勇気<4,平均化,葛藤あり,葛藤なし
57,4.757309941520467,4.858187134502924,-0.10087719298245618,W,404.0,0.037955655161532466,-0.2705040084043726,*,wilcoxon,0.0022117782545687903,False,勇気尺度（post）,葛藤の単純主効果,事前勇気>=4,平均化,葛藤あり,葛藤なし
69,0.21739130434782603,0.09541062801932365,0.12198067632850246,t,1.9804481442696924,0.05170071014055382,0.2384179393400354,†,paired_t,0.15240338943271758,True,勇気尺度（diff）,葛藤の単純主効果,事前勇気<4,平均化,葛藤あり,葛藤なし
57,-0.03801169590643274,0.06286549707602339,-0.10087719298245616,W,418.0,0.03406495030747364,-0.2705040084043726,*,wilcoxon,0.002211778254568646,False,勇気尺度（diff）,葛藤の単純主効果,事前勇気>=4,平均化,葛藤あり,葛藤なし
