group,action,n,mean,sd,se,ci95_low,ci95_high
事前勇気<4,行動なし,69,3.089371980676328,0.9661677677024643,0.11631293093883445,2.857273140664339,3.321470820688317
事前勇気<4,行動あり,69,3.1183574879227054,0.9848117206984132,0.11855739912514274,2.8817798813773554,3.3549350944680554
事前勇気>=4,行動なし,57,4.757309941520467,1.0069550672098333,0.133374456863003,4.49012879867828,5.024491084362654
事前勇気>=4,行動あり,57,4.757309941520468,0.8475397257619487,0.11225937906697347,4.532427382300928,4.982192500740008
