scope,difference_definition,n,mean_difference,sd_difference,se_difference,ci95_low,ci95_high,cohens_dz
全参加者,行動あり - 行動なし,126,0.01587301587301585,0.6536830939389418,0.05823471850109251,-0.09938071951659627,0.13112675126262796,0.024282432910064666
事前勇気<4,行動あり - 行動なし,69,0.028985507246376826,0.6136761894298537,0.07387793158293704,-0.11843560994567362,0.17640662443842728,0.047232575983282496
事前勇気>=4,行動あり - 行動なし,57,-3.1164155077197375e-17,0.7042952122737638,0.09328617975825937,-0.1868746737975073,0.18687467379750725,-4.4248710674301276e-17
