scope,difference_definition,n,mean_action_present,mean_action_absent,mean_difference,shapiro_W,shapiro_p,selected_test,selected_statistic,selected_p_value,paired_t,paired_t_p_value,wilcoxon_W,wilcoxon_p_value,cohens_dz
全参加者,行動あり - 行動なし,126,3.85978835978836,3.843915343915344,0.01587301587301585,0.9181279526212853,1.1263188961554592e-06,wilcoxon,2214.5,0.8077377988900383,0.27256963340035834,0.7856338105864251,2214.5,0.8077377988900383,0.024282432910064666
事前勇気<4,行動あり - 行動なし,69,3.1183574879227054,3.089371980676328,0.028985507246376826,0.9430821207458385,0.003479445640167354,wilcoxon,710.0,0.47210796550827694,0.3923432427698255,0.6960316966642194,710.0,0.47210796550827694,0.047232575983282496
事前勇気>=4,行動あり - 行動なし,57,4.757309941520468,4.757309941520467,-3.1164155077197375e-17,0.8786196765959504,3.644290227946695e-05,wilcoxon,357.0,0.6445943203663409,-3.3407043956517217e-16,0.9999999999999998,357.0,0.6445943203663409,-4.4248710674301276e-17
