participant_id,行動あり,行動なし,pre_courage,group,action_difference,condition_mean
1,3.1666666666666665,3.8333333333333335,2.8333333333333335,事前勇気<4,-0.666666666666667,3.5
2,4.333333333333333,5.0,4.666666666666667,事前勇気>=4,-0.666666666666667,4.666666666666666
3,3.6666666666666665,3.8333333333333335,4.333333333333333,事前勇気>=4,-0.16666666666666696,3.75
4,4.333333333333333,4.0,3.6666666666666665,事前勇気<4,0.33333333333333304,4.166666666666666
5,3.5,3.0,2.3333333333333335,事前勇気<4,0.5,3.25
6,5.333333333333333,4.333333333333333,4.666666666666667,事前勇気>=4,1.0,4.833333333333333
7,4.166666666666667,4.0,4.333333333333333,事前勇気>=4,0.16666666666666696,4.083333333333334
8,1.5,1.1666666666666667,3.3333333333333335,事前勇気<4,0.33333333333333326,1.3333333333333335
9,4.5,4.5,4.0,事前勇気>=4,0.0,4.5
10,2.0,2.0,2.0,事前勇気<4,0.0,2.0
11,5.5,6.166666666666667,6.333333333333333,事前勇気>=4,-0.666666666666667,5.833333333333334
12,4.666666666666667,4.166666666666667,4.0,事前勇気>=4,0.5,4.416666666666667
13,3.3333333333333335,3.0,3.1666666666666665,事前勇気<4,0.3333333333333335,3.166666666666667
14,5.0,5.5,5.166666666666667,事前勇気>=4,-0.5,5.25
15,2.0,2.0,2.1666666666666665,事前勇気<4,0.0,2.0
16,5.833333333333333,5.833333333333333,5.666666666666667,事前勇気>=4,0.0,5.833333333333333
17,4.833333333333333,4.666666666666667,4.5,事前勇気>=4,0.16666666666666607,4.75
18,3.6666666666666665,3.6666666666666665,2.8333333333333335,事前勇気<4,0.0,3.6666666666666665
19,3.0,1.8333333333333333,2.8333333333333335,事前勇気<4,1.1666666666666667,2.4166666666666665
20,3.8333333333333335,5.166666666666667,4.5,事前勇気>=4,-1.3333333333333335,4.5
21,3.8333333333333335,4.0,3.5,事前勇気<4,-0.16666666666666652,3.916666666666667
22,4.5,4.833333333333333,4.5,事前勇気>=4,-0.33333333333333304,4.666666666666666
23,6.0,6.0,5.833333333333333,事前勇気>=4,0.0,6.0
24,2.3333333333333335,3.6666666666666665,3.5,事前勇気<4,-1.333333333333333,3.0
25,4.5,1.6666666666666667,4.166666666666667,事前勇気>=4,2.833333333333333,3.0833333333333335
26,3.8333333333333335,4.166666666666667,3.6666666666666665,事前勇気<4,-0.3333333333333335,4.0
27,1.8333333333333333,1.5,1.3333333333333333,事前勇気<4,0.33333333333333326,1.6666666666666665
28,6.0,6.166666666666667,5.333333333333333,事前勇気>=4,-0.16666666666666696,6.083333333333334
29,6.666666666666667,6.5,6.0,事前勇気>=4,0.16666666666666696,6.583333333333334
30,2.6666666666666665,2.1666666666666665,1.8333333333333333,事前勇気<4,0.5,2.4166666666666665
31,3.3333333333333335,3.3333333333333335,3.5,事前勇気<4,0.0,3.3333333333333335
