effect,F_value,num_df,den_df,p_value,partial_eta_sq,n_participants
group,105.95387470797485,1.0,124.0,2.449564781995933e-18,0.4607614237530408,126
action,0.06091239319001483,1.0,124.0,0.8054677669994099,0.0004909877899089065,126
group:action,0.0609123931900153,1.0,124.0,0.8054677669994099,0.0004909877899089102,126
