scope,video_no,n,pearson_r,p_value,judgment_5pct
動画1,1,71,0.7862535255959539,4.520943256587362e-16,有意
動画2,2,71,0.7732566230919542,2.7362726164062228e-15,有意
動画3,3,71,0.7534240401954619,3.4336745587506804e-14,有意
動画4,4,71,0.8605794760709282,6.701451202521271e-22,有意
全動画プール,all,284,0.8090466692974488,4.7732238386334e-67,有意
