stratum_name,source_scale,operator,threshold,group_n,threshold_equal_n,summary_path,anova_results_path,condition_means_path,long_data_path,plots_dir
勇気事前3.5以下,勇気尺度,<=,3.5,56,11,C:\研究活動\博論\挑戦ロボット研究\分析\ANOVA\層別ANOVA\勇気事前3.5以下\summary.md,C:\研究活動\博論\挑戦ロボット研究\分析\ANOVA\層別ANOVA\勇気事前3.5以下\anova_results.csv,C:\研究活動\博論\挑戦ロボット研究\分析\ANOVA\層別ANOVA\勇気事前3.5以下\condition_means.csv,C:\研究活動\博論\挑戦ロボット研究\分析\ANOVA\層別ANOVA\勇気事前3.5以下\long_data.csv,C:\研究活動\博論\挑戦ロボット研究\分析\ANOVA\層別ANOVA\勇気事前3.5以下\plots
勇気事前3.5以上,勇気尺度,>=,3.5,81,11,C:\研究活動\博論\挑戦ロボット研究\分析\ANOVA\層別ANOVA\勇気事前3.5以上\summary.md,C:\研究活動\博論\挑戦ロボット研究\分析\ANOVA\層別ANOVA\勇気事前3.5以上\anova_results.csv,C:\研究活動\博論\挑戦ロボット研究\分析\ANOVA\層別ANOVA\勇気事前3.5以上\condition_means.csv,C:\研究活動\博論\挑戦ロボット研究\分析\ANOVA\層別ANOVA\勇気事前3.5以上\long_data.csv,C:\研究活動\博論\挑戦ロボット研究\分析\ANOVA\層別ANOVA\勇気事前3.5以上\plots
CZO事前2.5以下,CZO尺度,<=,2.5,30,7,C:\研究活動\博論\挑戦ロボット研究\分析\ANOVA\層別ANOVA\CZO事前2.5以下\summary.md,C:\研究活動\博論\挑戦ロボット研究\分析\ANOVA\層別ANOVA\CZO事前2.5以下\anova_results.csv,C:\研究活動\博論\挑戦ロボット研究\分析\ANOVA\層別ANOVA\CZO事前2.5以下\condition_means.csv,C:\研究活動\博論\挑戦ロボット研究\分析\ANOVA\層別ANOVA\CZO事前2.5以下\long_data.csv,C:\研究活動\博論\挑戦ロボット研究\分析\ANOVA\層別ANOVA\CZO事前2.5以下\plots
CZO事前2.5以上,CZO尺度,>=,2.5,103,7,C:\研究活動\博論\挑戦ロボット研究\分析\ANOVA\層別ANOVA\CZO事前2.5以上\summary.md,C:\研究活動\博論\挑戦ロボット研究\分析\ANOVA\層別ANOVA\CZO事前2.5以上\anova_results.csv,C:\研究活動\博論\挑戦ロボット研究\分析\ANOVA\層別ANOVA\CZO事前2.5以上\condition_means.csv,C:\研究活動\博論\挑戦ロボット研究\分析\ANOVA\層別ANOVA\CZO事前2.5以上\long_data.csv,C:\研究活動\博論\挑戦ロボット研究\分析\ANOVA\層別ANOVA\CZO事前2.5以上\plots
