variable,low_n,high_n,low_mean,high_mean,low_sd,high_sd,mean_diff_low_minus_high,test,statistic,p_value,effect_size_d
勇気尺度事前平均,75,51,2.9755555555555553,4.888888888888889,0.7401471595688373,0.6828589139026423,-1.913333333333334,Welch t,-14.919123242580891,1.7722538259985533e-28,-2.666304179441857
CZO尺度事前平均,75,51,2.753333333333334,3.4078431372549023,0.5113134473504892,0.5125790230803059,-0.6545098039215684,Welch t,-7.042383857407875,1.8794152389887378e-10,-1.2787786996350845
勇気尺度_葛藤あり平均変化量-葛藤なし平均変化量,74,51,0.0630630630630631,-0.040849673202614394,0.4176497103981567,0.5305585497639906,0.10391273626567749,Welch t,1.170842136288607,0.24473534232166197,0.2225811086652941
勇気尺度_葛藤なし動画後の平均変化量,74,51,0.028153153153153133,0.14705882352941177,0.6440627189676843,0.7290763249356678,-0.11890567037625864,Welch t,-0.9392037879204735,0.349919078072227,-0.17488581980380452
勇気尺度_動画2(葛藤あり行動なし)変化量,74,51,0.05405405405405408,0.13071895424836605,0.7141258496608364,0.7566840860624847,-0.07666490019431196,Welch t,-0.5695556233372694,0.5702131185339088,-0.10477288963240097
勇気尺度_動画1(葛藤あり行動あり)変化量,74,51,0.12837837837837837,0.08169934640522875,0.6754824068481824,0.6585949261028763,0.046679031973149626,Welch t,0.3853858170652548,0.7006999264870286,0.06980887411901665
勇気尺度_葛藤あり動画後の平均変化量,74,51,0.09121621621621624,0.1062091503267974,0.6219551277388479,0.6198293742305551,-0.014992934110581155,Welch t,-0.13272493919356596,0.8946581533419318,-0.02413963962961038
