scope,video_no,n,pearson_r,p_value,judgment_5pct
動画1,1,55,0.7060745813079384,1.7278821323767166e-09,有意
動画2,2,55,0.5974536673811256,1.4678141598657896e-06,有意
動画3,3,55,0.8205143300914881,1.765411183750175e-14,有意
動画4,4,55,0.8052706819711981,1.2471830634626974e-13,有意
全動画プール,all,220,0.7781089509622539,6.525214090573972e-46,有意
